wavelength-um            Radiance-case1           Radiance-case2           Radiance-case3           
1.415615615615615663e+00 1.018971435008898929e+01 4.507811879560541115e+02 3.363881437202533107e+03
1.429429429429429410e+00 9.891442892104143070e+00 4.710524924248412617e+02 3.408818541683051080e+03
1.443243243243243157e+00 9.685806588464428657e+00 4.901961873734707638e+02 3.485227170567107351e+03
1.457057057057057126e+00 9.359016066814557888e+00 5.105075786357644461e+02 3.568230375598905994e+03
1.470870870870870872e+00 8.911427927766569113e+00 5.307453415818323492e+02 3.623672722198833526e+03
1.484684684684684619e+00 9.149028768390952138e+00 5.523152798912108210e+02 3.685952027667881339e+03
1.498498498498498588e+00 8.680523441454214506e+00 5.742821581963384006e+02 3.726972226152211078e+03
1.512312312312312335e+00 8.461171858893409947e+00 5.957675159479198328e+02 3.787763050717641818e+03
1.526126126126126081e+00 8.123384760002657856e+00 6.178591964643183019e+02 3.842427273203861205e+03
1.539939939939940050e+00 8.104526233218178888e+00 6.400069904927615880e+02 3.892443792697293702e+03
1.553753753753753797e+00 7.916855094258922421e+00 6.620134405422227246e+02 3.940289658473845520e+03
1.567567567567567544e+00 7.864771437721161718e+00 6.856147535742700256e+02 3.985751704799287836e+03
1.581381381381381290e+00 7.567619287806152784e+00 7.096242731477174175e+02 4.052530095773764060e+03
1.595195195195195259e+00 7.250893441534913997e+00 7.332661541303571084e+02 4.079520562846452322e+03
1.609009009009009006e+00 7.327531190838417530e+00 7.558030025277869299e+02 4.139949457554044784e+03
1.622822822822822753e+00 6.699631503219963591e+00 7.806219162066772697e+02 4.188828730382327194e+03
1.636636636636636721e+00 6.875912280617944461e+00 8.033743306547390830e+02 4.223514037249717148e+03
1.650450450450450468e+00 6.805441355568294881e+00 8.282204630406786237e+02 4.267810215185134439e+03
1.664264264264264215e+00 6.487362651329593000e+00 8.529710467105861653e+02 4.291074890288106872e+03
1.678078078078078184e+00 6.411150338618783806e+00 8.768354954439245148e+02 4.338431298396533748e+03
1.691891891891891930e+00 6.226533992856534638e+00 9.013938699019264504e+02 4.383737197100115736e+03
1.705705705705705677e+00 6.214923252923404640e+00 9.259417027970853269e+02 4.418078731923524174e+03
1.719519519519519646e+00 6.220604085627003954e+00 9.495487032750473873e+02 4.430793177582891985e+03
1.733333333333333393e+00 6.161247338761717707e+00 9.741285710068306116e+02 4.448225790292074635e+03
1.747147147147147139e+00 5.858738038895511480e+00 9.984630394729977070e+02 4.483360583384861457e+03
1.760960960960960886e+00 5.832081889632290128e+00 1.023271147158264057e+03 4.526882398642502267e+03
1.774774774774774855e+00 5.683158479052537793e+00 1.046742409317731244e+03 4.552172836325609751e+03
1.788588588588588602e+00 5.774115884048583780e+00 1.072221699908439405e+03 4.577540781870015962e+03
